# Created by Graham Nelson-Zutter. ©2026 Aestra Inc. except when external source noted. CC BY-NC-ND 4.0
"start","end","text"
"710","1210"," The"
"1210","1630"," following"
"1630","3350"," is"
"3350","3570"," a"
"3570","4050"," meditation"
"4050","4550"," for"
"4550","4750"," the"
"4750","5310"," second"
"5310","6050"," fundamental"
"6050","6630"," motivation"
"6630","7109"," of"
"7109","7590"," existential"
"7590","8250"," analysis."
"10070","10550"," Helping"
"10550","10750"," us"
"10750","11050"," answer"
"11050","11250"," the"
"11250","11690"," question"
"11690","12290"," of,"
"12750","13370"," do"
"13370","13530"," I"
"13530","13830"," like"
"13830","14250"," being"
"14250","15430"," with"
"15430","15650"," an"
"15650","16010"," affirmative"
"16010","16810"," yes?"
"18430","19090"," The"
"19090","19390"," speaker"
"19390","19830"," and"
"19830","20250"," creator"
"20250","21550"," is"
"21550","22010"," Graham"
"22010","22410"," Nelson"
"22410","22790"," Zutter."
"26910","27670"," Please"
"27670","27970"," take"
"27970","28110"," a"
"28110","28350"," moment"
"28350","29510"," to"
"29510","29950"," find"
"29950","30190"," a"
"30190","30390"," seated"
"30390","30970"," position"
"30970","32350"," where"
"32350","32890"," there's"
"32890","33310"," support"
"33310","34850"," for"
"34850","34990"," your"
"34990","35390"," back"
"36770","37610"," and"
"37610","37750"," an"
"37750","38090"," ability"
"38090","38550"," to"
"38550","38850"," place"
"38850","39090"," your"
"39090","39490"," feet"
"39490","40710"," flat"
"40710","40850"," on"
"40850","40970"," the"
"40970","41350"," ground. "
"43370","43810"," It"
"43810","43970"," may"
"43970","44310"," also"
"44310","44710"," be"
"44710","45090"," helpful"
"45090","47210"," to"
"47210","47410"," have"
"47410","47550"," a"
"47550","47950"," posture"
"47950","49810"," where"
"49810","49950"," your"
"49950","50230"," back"
"50230","50470"," is"
"50470","50810"," fairly"
"50810","51290"," vertical"
"51290","53770"," and"
"53770","54230"," there's"
"54230","54810"," little"
"54810","55510"," strain"
"55510","57530"," on"
"57530","57670"," your"
"57670","57950"," neck,"
"60740","61380"," perhaps"
"61380","61600"," where"
"61600","61760"," your"
"61760","62080"," head"
"62080","62300"," is"
"62300","62640"," centered"
"62640","63239"," above"
"63239","63580"," your"
"63580","63860"," spinal"
"63860","64239"," column."
"66220","66900"," If"
"66900","67100"," this"
"67100","67400"," isn't"
"67400","67960"," possible,"
"69660","69840"," a"
"69840","70260"," variation"
"70260","71260"," includes"
"71260","73300"," support"
"73300","74060"," behind"
"74060","74400"," your"
"74400","74700"," neck"
"75720","76400"," and"
"76400","76760"," head,"
"78180","78600"," perhaps"
"78600","78800"," with"
"78800","78980"," a"
"78980","79300"," pillow,"
"81750","82190"," inviting"
"82190","82430"," you"
"82430","82610"," to"
"82610","82830"," find"
"82830","83010"," a"
"83010","83330"," posture"
"83330","83810"," where"
"83810","84070"," there's"
"84070","84290"," very"
"84290","84530"," little"
"84530","84990"," strain"
"85570","85870"," on"
"85870","85990"," your"
"85990","86370"," body."
"92960","93560"," If"
"93560","93740"," it"
"93740","94180"," feels"
"94180","94700"," comfortable,"
"95280","95500"," I"
"95500","95740"," invite"
"95740","96020"," you"
"96020","96260"," to"
"96260","96500"," close"
"96500","96720"," your"
"96720","97160"," eyes"
"97160","98200"," and"
"101050","101230"," if"
"101230","101370"," for"
"101370","101570"," any"
"101570","102030"," reason"
"102030","102770"," it"
"102770","103010"," doesn't"
"103010","103210"," feel"
"103210","103670"," safe"
"103670","103870"," or"
"103870","104290"," comfortable"
"104290","104870"," to"
"104870","105070"," keep"
"105070","105210"," your"
"105210","105430"," eyes"
"105430","105990"," closed,"
"108480","109160"," go"
"109160","109460"," ahead"
"109460","109640"," and"
"109640","109860"," open"
"109860","110160"," them"
"111540","112480"," and"
"112480","112840"," perhaps"
"112840","113080"," you"
"113080","113240"," can"
"113240","113820"," find"
"113820","114120"," a"
"114120","114540"," place"
"114540","115460"," to"
"115460","115740"," rest"
"115740","116220"," your"
"116220","117960"," gaze"
"117960","118980"," without"
"118980","120420"," too"
"120420","120620"," much"
"120620","121240"," distraction. "
"123040","123640"," Perhaps"
"123640","123900"," there's"
"123900","124040"," a"
"124040","124520"," pattern"
"125060","125420"," on"
"125420","126460"," the"
"126460","126820"," wall."
"131280","131900"," If"
"131900","132380"," possible,"
"132560","132700"," I"
"132700","132900"," do"
"132900","133220"," invite"
"133220","133520"," you"
"133520","133780"," to"
"133780","134340"," try"
"134340","134860"," eyes"
"134860","135360"," closed"
"135360","136200"," first"
"136200","137960"," and"
"137960","138140"," see"
"138140","138340"," what"
"138340","138860"," happens."
"146720","147060"," Please"
"147060","148100"," send"
"148100","148340"," your"
"148340","148740"," awareness"
"148740","149100"," and"
"149100","149360"," focus"
"149360","149640"," to"
"149640","149820"," the"
"149820","150080"," bottoms"
"150080","150280"," of"
"150280","150440"," your"
"150440","150820"," feet,"
"154000","154340"," taking"
"154340","154600"," a"
"154600","154920"," moment"
"154920","156300"," to"
"156300","156480"," come"
"156480","156680"," into"
"156680","157100"," contact"
"157100","157340"," with"
"157340","157520"," the"
"157520","157920"," floor,"
"162430","162890"," noticing"
"162890","163750"," the"
"163750","164110"," stability"
"164110","164770"," of"
"164770","164930"," the"
"164930","165290"," floor,"
"168180","168620"," noticing"
"168620","169080"," the"
"169080","169440"," differences"
"169440","169760"," in"
"169760","170180"," pressure"
"170180","170780"," on"
"170780","170920"," the"
"170920","171160"," bottoms"
"171160","171400"," of"
"171400","171560"," your"
"171560","171920"," feet. "
"176060","176560"," There"
"176560","176800"," may"
"176800","177240"," be"
"177240","178260"," shoes,"
"178760","179240"," footwear,"
"179560","180080"," socks,"
"183080","183780"," carpet"
"183780","184480"," between"
"184480","184960"," you"
"184960","185200"," and"
"185200","185360"," the"
"185360","185740"," floor."
"187720","188240"," Just"
"188240","188540"," taking"
"188540","188760"," a"
"188760","189220"," moment"
"189220","191380"," to"
"191380","191940"," feel"
"193300","194000"," the"
"194000","194340"," mixture"
"194340","194600"," of"
"194600","195040"," firmness"
"195040","195260"," and"
"195260","195780"," softness"
"195780","196120"," between"
"196120","196340"," the"
"196340","196600"," bottoms"
"196600","196840"," of"
"196840","196960"," your"
"196960","197300"," feet"
"197300","197520"," and"
"197520","197680"," the"
"197680","197980"," floor."
"208660","209340"," You"
"209340","209520"," may"
"209520","210040"," choose"
"210040","210620"," to"
"210620","211020"," sit"
"211020","212420"," in"
"212420","212700"," lotus"
"212700","213260"," position,"
"216600","217160"," which"
"217160","217340"," is"
"217340","217760"," fine,"
"221900","222220"," taking"
"222220","222500"," a"
"222500","222760"," moment"
"222760","223120"," to"
"223120","223680"," notice"
"223680","224580"," the"
"225960","226440"," contact"
"226440","226980"," between"
"229190","229550"," your"
"229550","229830"," feet"
"229830","230010"," and"
"230010","230570"," ankles"
"230570","232410"," and"
"232410","232570"," where"
"232570","232770"," you're"
"232770","233070"," sitting. "
"242240","242960"," As"
"242960","243120"," you"
"243120","243520"," tune"
"243520","244420"," into"
"244420","244660"," the"
"244660","245140"," sensation,"
"245340","245460"," I"
"245460","245800"," invite"
"245800","246080"," you"
"246080","246320"," to"
"246320","246660"," use"
"246660","246840"," your"
"246840","247340"," imagination"
"247340","248660"," to"
"249970","250350"," expand"
"250350","250710"," your"
"250710","251110"," awareness"
"251110","251710"," out"
"251710","252090"," to"
"252090","252310"," the"
"252310","252910"," entire"
"252910","253630"," floor"
"253630","254090"," of"
"254090","254230"," the"
"254230","254550"," building"
"254550","254790"," that"
"254790","254990"," you're"
"254990","255190"," in."
"257450","257829"," If"
"257829","258050"," you're"
"258050","258170"," in"
"258170","258310"," a"
"258310","258769"," home,"
"259250","260790"," noticing"
"260790","261190"," how"
"261190","261390"," the"
"261390","261650"," floor"
"261650","262170"," extends"
"262170","262610"," out"
"262610","262830"," to"
"262830","263290"," all"
"263290","264830"," the"
"264830","265150"," rooms"
"265150","265390"," on"
"265390","265590"," this"
"265590","265970"," floor."
"268980","269300"," If"
"269300","269460"," you're"
"269460","269560"," in"
"269560","269700"," a"
"269700","270200"," building,"
"271440","271840"," noticing"
"271840","272360"," the"
"272360","272800"," floor"
"272800","273620"," expanding"
"273620","274320"," beyond"
